DATE,Energy_Consumption
Mar 2024,17658.39818
Feb 2024,17716.48917
Jan 2024,20044.01987
Dec 2023,18560.06591
Nov 2023,18378.73369
Oct 2023,20282.41442
Sep 2023,22347.58343
Aug 2023,25018.2423
Jul 2023,22940.58818
Jun 2023,19223.82354
May 2023,18182.38622
Apr 2023,16154.09389
Mar 2023,19403.18705
Feb 2023,17343.20593
Jan 2023,20405.59028
Dec 2022,19176.14139
Nov 2022,18003.13589
Oct 2022,21570.34154
Sep 2022,26005.26868
Aug 2022,27435.43426
Jul 2022,24188.1955
Jun 2022,21564.76439
May 2022,18943.67664
Apr 2022,18170.50477
Mar 2022,19752.80989
Feb 2022,16636.41958
Jan 2022,20422.44347
Dec 2021,20077.35605
Nov 2021,18754.52085
Oct 2021,20641.27103
Sep 2021,23607.68684
Aug 2021,26005.66433
Jul 2021,26068.01914
Jun 2021,22391.08085
May 2021,18604.99369
Apr 2021,15304.45053
Mar 2021,21151.14217
Feb 2021,16063.97068
Jan 2021,18579.70886
Dec 2020,21726.34372
Nov 2020,16723.70403
Oct 2020,23587.97568
Sep 2020,23975.36364
Aug 2020,24001.90557
Jul 2020,26098.31993
Jun 2020,21459.87126
May 2020,18956.69382
Apr 2020,16963.48016
Mar 2020,19334.99603
Feb 2020,16783.77126
Jan 2020,20562.24693
Dec 2019,21427.79741
Nov 2019,17072.51452
Oct 2019,22118.00421
Sep 2019,22952.42836
Aug 2019,26016.96997
Jul 2019,24800.78171
Jun 2019,19458.26464
May 2019,20217.63469
Apr 2019,17833.06189
Mar 2019,19565.46263
Feb 2019,17808.23003
Jan 2019,21107.55995
Dec 2018,19670.89409
Nov 2018,18310.46184
Oct 2018,22414.81919
Sep 2018,20312.25885
Aug 2018,29874.59826
Jul 2018,25342.87046
Jun 2018,21098.82609
May 2018,19877.98039
Apr 2018,18388.98709
Mar 2018,21509.26676
Feb 2018,17968.25944
Jan 2018,20455.0495
Dec 2017,19884.4839
Nov 2017,19418.38153
Oct 2017,21240.28375
Sep 2017,24201.25166
Aug 2017,26750.18665
Jul 2017,25465.17454
Jun 2017,23250.03827
May 2017,20051.04226
Apr 2017,18532.71506
Mar 2017,19674.73727
Feb 2017,18102.53193
Jan 2017,20697.11019
Dec 2016,20756.71284
Nov 2016,19741.32936
Oct 2016,21407.81419
Sep 2016,24190.1914
Aug 2016,27016.02584
Jul 2016,23899.79588
Jun 2016,22358.25372
May 2016,19390.174
Apr 2016,19147.80093
Mar 2016,20224.89424
Feb 2016,18596.84251
Jan 2016,20116.80006
Dec 2015,21549.47309
Nov 2015,19884.18538
Oct 2015,24329.32375
Sep 2015,25544.6546
Aug 2015,24552.18144
Jul 2015,25191.35795
Jun 2015,22091.3992
May 2015,19441.5892
Apr 2015,20019.54761
Mar 2015,19904.83465
Feb 2015,18225.2253
Jan 2015,20436.66481
Dec 2014,21317.88684
Nov 2014,18667.42027
Oct 2014,24204.13895
Sep 2014,25534.89975
Aug 2014,25279.32014
Jul 2014,25635.58041
Jun 2014,22629.65735
May 2014,20712.60859
Apr 2014,19847.00878
Mar 2014,18994.25775
Feb 2014,18727.999
Jan 2014,21034.00821
Dec 2013,21343.08239
Nov 2013,18993.75588
Oct 2013,22151.80762
Sep 2013,24297.23707
Aug 2013,25147.41773
Jul 2013,25635.01529
Jun 2013,21981.27767
May 2013,21327.50374
Apr 2013,19388.69189
Mar 2013,19826.85673
Feb 2013,19212.52513
Jan 2013,22027.28785
